# Constructed from biom file
feature-id	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8
63145f49e7efc26729094a53d97c0cd1	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0
1ea96d595539133266a3dbd49daac1e4	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
f95cdb71258ef6cc222c673ea4546caf	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0
1e1e0cca52fab68a8c7ba5256aeadd6d	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0
1395953fab837ed426f9b2ba24da41b1	0.0	0.0	0.0	0.0	0.0	7.0	7.0	0.0
b2d056fa113334bd2797397b162c6ac9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0
9c6b4f83513e63a49ce33a8aeb1813ad	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0
7e4d5b19d3213719048fe55dfad0da3a	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0
8c001c89f020a1b78b26ee21d1d56746	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
6bd57e46e038faafe4bb747e1d494df7	0.0	0.0	0.0	0.0	0.0	6.0	5.0	0.0
1a2d9f4af510ce624fa0337c3ea9fedc	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f1d63da515a0c96eb9f7af5de75655bb	0.0	0.0	5.0	0.0	4.0	0.0	0.0	0.0
167baae5fe04a754df7eb073c07adaa7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0
124e839582c0a3329101182cb28619a8	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
51b573b10d63a2cbe455deeef5bae002	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
6b4a0a64da52980e7a1b1a770978bb88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0
b89da5ee2f75672a2656789aea91071d	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
48a6cea7eaf29dcb52dc2985933f4249	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0
4e34087bb8399deb145896c92e1b58a5	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0
5beb76b0d6631d10fc820c2d128d4cb6	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
ba3ff6e27b67596844f11db93e44c496	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
af12fc27ee17864717830cafd06453cd	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
1076b2b7de5233cc917c9425aa2ea200	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0
a80183c045cf890899121db3bbcbd39d	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
6bf95d9914dc404e98ebff522496533d	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0
e7709791d7ef6b47747de9fb43880d14	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f908d554fc6eeb9fef7a7028fa791475	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e3d37109be4a17d8437f6fcb6072982d	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
09fc3d8a98c2ca72c69b63a51b5b564e	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
3a31937521e389cbdf89ca01039e5ec3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
30d793622ebd90e7687dd3827701d46e	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fe72a66c85df0ab333e3a37d0332df67	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
bc15061b61cf6b5002c58284591f97d4	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
dbae1b46b67ad6769ea63d33ed3d44bf	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
6d7d9658988c6e2b5e45ea087f1b9155	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
502b6544978890cda2ece2d14bfdba01	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
